Column,Attribute,attributeOf,Format,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition,Label,Comment,Template
id,sio:Identifier,,,,,,,,,,,1,NDB No,,{id}
Msre_Desc_1,,{id},,,,sio:Attribute,,,,,,2,,,
Msre_Desc_2,,{id},,,,sio:Attribute,,,,,,3,,,
Msre_Desc_3,,{id},,,,sio:Attribute,,,,,,4,,,
Msre_Desc_4,,{id},,,,sio:Attribute,,,,,,5,,,
Msre_Desc_5,,{id},,,,sio:Attribute,,,,,,6,,,
Msre_Desc_6,,{id},,,,sio:Attribute,,,,,,7,,,
Msre_Desc_7,,{id},,,,sio:Attribute,,,,,,8,,,
Msre_Desc_8,,{id},,,,sio:Attribute,,,,,,9,,,
Msre_Desc_9,,{id},,,,sio:Attribute,,,,,,10,,,
Msre_Desc_10,,{id},,,,sio:Attribute,,,,,,11,,,
Msre_Desc_11,,{id},,,,sio:Attribute,,,,,,12,,,
Msre_Desc_12,,{id},,,,sio:Attribute,,,,,,13,,,
Msre_Desc_13,,{id},,,,sio:Attribute,,,,,,14,,,
Msre_Desc_14,,{id},,,,sio:Attribute,,,,,,15,,,
Msre_Desc_15,,{id},,,,sio:Attribute,,,,,,16,,,
Msre_Desc_16,,{id},,,,sio:Attribute,,,,,,17,,,
Amount_1,,{id},,,,sio:Attribute,,,,,,18,,,
Amount_2,,{id},,,,sio:Attribute,,,,,,19,,,
Amount_3,,{id},,,,sio:Attribute,,,,,,20,,,
Amount_4,,{id},,,,sio:Attribute,,,,,,21,,,
Amount_5,,{id},,,,sio:Attribute,,,,,,22,,,
Amount_6,,{id},,,,sio:Attribute,,,,,,23,,,
Amount_7,,{id},,,,sio:Attribute,,,,,,24,,,
Amount_8,,{id},,,,sio:Attribute,,,,,,25,,,
Amount_9,,{id},,,,sio:Attribute,,,,,,26,,,
Amount_10,,{id},,,,sio:Attribute,,,,,,27,,,
Amount_11,,{id},,,,sio:Attribute,,,,,,28,,,
Amount_12,,{id},,,,sio:Attribute,,,,,,29,,,
Amount_13,,{id},,,,sio:Attribute,,,,,,30,,,
Amount_14,,{id},,,,sio:Attribute,,,,,,31,,,
Amount_15,,{id},,,,sio:Attribute,,,,,,32,,,
Amount_16,,{id},,,,sio:Attribute,,,,,,33,,,
Gm_Wgt_1,,{id},,"dbr:Gram,uo:0000021",,sio:Attribute,,,,,,34,,,
Gm_Wgt_2,,{id},,"dbr:Gram,uo:0000021",,sio:Attribute,,,,,,35,,,
Gm_Wgt_3,,{id},,"dbr:Gram,uo:0000021",,sio:Attribute,,,,,,36,,,
Gm_Wgt_4,,{id},,"dbr:Gram,uo:0000021",,sio:Attribute,,,,,,37,,,
Gm_Wgt_5,,{id},,"dbr:Gram,uo:0000021",,sio:Attribute,,,,,,38,,,
Gm_Wgt_6,,{id},,"dbr:Gram,uo:0000021",,sio:Attribute,,,,,,39,,,
Gm_Wgt_7,,{id},,"dbr:Gram,uo:0000021",,sio:Attribute,,,,,,40,,,
Gm_Wgt_8,,{id},,"dbr:Gram,uo:0000021",,sio:Attribute,,,,,,41,,,
Gm_Wgt_9,,{id},,"dbr:Gram,uo:0000021",,sio:Attribute,,,,,,42,,,
Gm_Wgt_10,,{id},,"dbr:Gram,uo:0000021",,sio:Attribute,,,,,,43,,,
Gm_Wgt_11,,{id},,"dbr:Gram,uo:0000021",,sio:Attribute,,,,,,44,,,
Gm_Wgt_12,,{id},,"dbr:Gram,uo:0000021",,sio:Attribute,,,,,,45,,,
Gm_Wgt_13,,{id},,"dbr:Gram,uo:0000021",,sio:Attribute,,,,,,46,,,
Gm_Wgt_14,,{id},,"dbr:Gram,uo:0000021",,sio:Attribute,,,,,,47,,,
Gm_Wgt_15,,{id},,"dbr:Gram,uo:0000021",,sio:Attribute,,,,,,48,,,
Gm_Wgt_16,,{id},,"dbr:Gram,uo:0000021",,sio:Attribute,,,,,,49,,,
